pca1,pca2,Category,labels
-0.207116422875549,0.195490288706486,#050505,Years residence
-0.249289335896825,0.0844148061184767,#050505,Previous residence
-0.29126288267828,-0.149786475934295,#050505,Weed problem
-0.154011360871282,-0.267603083009896,#050505,Soil quality
-0.364877347362295,0.283250925072986,#858585,Field size
-0.105394072286898,0.167199287745286,#858585,Total duration
-0.156997918777736,0.166103020977092,#858585,Months LU
0.219214095852664,0.379916756394986,#fc6203,Weeding type
0.395518895578479,0.0144830028706025,#fc6203,Herbicide use
0.252148204988325,0.0303281645700538,#fc6203,Exotic grass
-0.096654463876171,-0.277465797355986,#fc6203,Trees planted
-0.0930942672830403,-0.295444723967189,#fc6203,Wood extraction
-0.34345749585348,0.108906965964698,#0c02c4,Cattle nr
-0.303054673048595,0.0904027553324841,#0c02c4,Stock rate
0.0150834703530042,-0.426297208662862,#57bdf7,Weeding freq
0.317300142169581,0.298541050961033,#57bdf7,Herb/pest freq
0.143954413713498,-0.352424150966976,#57bdf7,Fire events
